{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV_ROOFTOP;PV_UTILITY;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;DHN_SOLAR;DEC_SOLAR;PT_COLLECTOR;ST_COLLECTOR
7416;0.000121091184538288;0;0.000105609176700029;9.40E-06;0.000114155;0;0;0.924668011989127;0.773808537773229;0.719879205418403;0.719879205418403;0.001337349;0;0;0;0
7417;8.96E-05;0.000155012166207219;0.000105000283304529;5.87E-06;0.000114155;0;0;0.853269497963729;0.807420565368568;0.677107417880611;0.677107417880611;0.010682752;0;0;0;0
7418;8.63E-05;0.000441342372596355;0.000103799410219029;2.35E-06;0.000114155;0;0;0.809278098828797;0.833979750973461;0.677107417880611;0.677107417880611;0.055732213;0;0;0;0
7419;8.38E-05;0.000499107378921762;0.000101346922931828;1.17E-06;0.000114155;0;0;0.802796877053483;0.85189198134285;0.677107417880611;0.677107417880611;0.068512602;0;0;0;0
7420;8.18E-05;0.000544113596541868;9.90E-05;1.41E-05;0.000114155;0;0;0.827482924816909;0.862935332666175;0.677107417880611;0.677107417880611;0.045444111;0;0;0;0
7421;8.11E-05;0.000578831681236272;9.71E-05;3.76E-05;0.000114155;0;0;0.864215204331753;0.874424887041735;0.677107417880611;0.677107417880611;0.013684352;0;0;0;0
7422;8.04E-05;0.000612429914343576;9.62E-05;9.40E-05;0.000114155;0;0;0.887620508985294;0.883184031800596;0.677107417880611;0.677107417880611;0.000911366;0;0;0;0
7423;7.83E-05;0.000532549853295166;9.79E-05;0.0001821;0.000114155;0.0991735477495595;0.0991735477495595;0.688017876781028;0.886269592102354;0.677107417880611;0.677107417880611;0.000320272;4.88E-06;4.88E-06;0.00000488;0.00000488
7424;8.09E-05;0;0.000104763491428529;0.000158603;0.000114155;0.366358752862993;0.366358752862993;0.55723053283084;0.886469814398493;0.677107417880611;0.677107417880611;0.015601772;0.012914250608682;0.012914250608682;0.012914250608682;0.012914250608682
7425;8.49E-05;0;0.000113507877135431;0.000146855;0.000114155;0.659212405629144;0.659212405629144;1.11614603839331;0.885970420040675;0.677107417880611;0.677107417880611;0.031318311;0.11006427516267;0.11006427516267;0.11006427516267;0.11006427516267
